Area_Code	Parameter_Code	Indicator_Code	Folder_Code	Folder_Desc	
II	E	IMP	I.7.5	attendance in continuing professional education (CPE) programs such as seminars, workshops and conferences or some in-service training courses;	
II	E	IMP	I.7.6	conducting research activities related to the program;	
II	E	IMP	I.7.7	publishing scholarly articles and research outputs; and	
II	E	IMP	I.7.8	production of instructional materials (IMs)	
II	E	IMP	I.8	Opportunities for the faculty to attend/ participate in capability-building and enhancing activities are fairly distributed.	
II	E	IMP	I.9	Tuition fee privilege and other forms of assistance are utilized for faculty pursuing advanced (master’s and/ or doctoral) degrees.	
II	E	IMP	I.10	Faculty are given incentives for book writing, manuals, handbooks, compilations, and instructional materials to keep up with new knowledge and techniques in the field of specialization.	
II	E	OUT	O.1	The faculty are well-trained and competent to serve the institution.	
II	E	OUT	O.2	The faculty are committed to serve and support the programs and projects of the institution.	
II	F	SIP	S.1	The institution has a system of evaluating the faculty on the following:	
II	F	SIP	S.1.1	professional performance; and	
II	F	SIP	S.1.2	scholarly works.	
II	F	IMP	I.1	demonstrate skills and competencies in all of the following:	
II	F	IMP	I.1.1	knowledge of the program objectives/ outcome(s);	
II	F	IMP	I.1.2	reflecting the program outcomes clearly in the course objectives;	
II	F	IMP	I.1.3	knowledge/ mastery of the continent, issues and methodologies in the discipline;	
II	F	IMP	I.1.4	proficiency in the use of the language of instruction;	
II	F	IMP	I.1.5	the use of higher order thinking such as analytical, critical, creative, innovative and problem solving;	
II	F	IMP	I.1.6	innovativeness and resourcefulness in the different instructional processes; and	
II	F	IMP	I.1.7	integration of values and work ethics in the teaching- learning process; and	
II	F	IMP	I.1.8	integration of Gender and Development (GAD) activities	
II	F	IMP	I.2	promptly submit required reports and other academic outputs.	
II	F	IMP	I.3	update lecture notes through an interface of relevant research findings and new knowledge.	
II	F	IMP	I.4	serve a resource person/ lecturer/ consultant in the program/ field of specialization.	
II	F	IMP	I.5	present papers in regional/ national and/ or international fora.	
II	F	IMP	I.6	publish papers in regional, national and international magazines and journals.	
II	F	IMP	I.7	conduct research and publish outputs in refereed journals of national and international circulation	
II	F	IMP	I.8	conduct extension and outreach activities.	
II	F	IMP	I.9	regularly update respective course syllabi.	
II	F	IMP	I.10	utilize ICT and other resources in the enhancement of the teaching- learning process; and	
II	F	IMP	I.11	produce instructional materials, e.g. workbooks, manuals, modules, audio-visual aids, etc. To facilitate teaching and learning.	
II	F	OUT	O.1	The faculty performance is generally satisfactory.	
II	F	OUT	O.2	The scholarly works of the faculty are commendable.	
II	G	SIP	S.1	The institution has a system of compensation and rewards to its faculty and staff.	
II	G	IMP	I.1	The following fringe benefits are granted:	
II	G	IMP	I.1.1	maternity leave/ paternity leave with pay;	
II	G	IMP	I.1.2	sick leave;	
II	G	IMP	I.1.3	study leave (with or without pay)	
II	G	IMP	I.1.4	vacation leave;	
II	G	IMP	I.1.5	tuition fee discount for faculty and their dependents;	
II	G	IMP	I.1.6	clothing/ uniform allowance;	
II	G	IMP	I.1.7	performance based bonus (PBB);	
II	G	IMP	I.1.8	anniversary bonus;	
II	G	IMP	I.1.9	honoraria/ incentive for conducting research or for the production of scholarly works.	
II	G	IMP	I.1.10	housing privilege (optional);	
II	G	IMP	I.1.11	sabbatical leave;	
II	G	IMP	I.1.12	compensatory leave credit;	
II	G	IMP	I.1.13	deloading to finish thesis/ dissertation;	
II	G	IMP	I.1.14	thesis dissertation aid; and	
II	G	IMP	I.1.15	others, (please identify).	
II	G	IMP	I.2	Policies on salaries/ benefits and other privileges are disseminated to the faculty.	
II	G	IMP	I.3	Salaries are paid regularly and promptly.	
II	G	IMP	I.4	Teaching assignments beyond the regular load are compensated (e.g., overload pay, service credits, etc.)	
II	G	IMP	I.5	Faculty who are actually involved in the production of scholarly materials are given credits for the work.	
II	G	IMP	I.6	Faculty with outstanding performance are given recognition/ awards and incentives.	
II	G	OUT	O.1	The faculty are satisfied with their compensation and rewards.	
II	H	SIP	S.1	There are approved SUC Code and SUC Faculty Manual that defines the policies, guidelines, rules and regulations affecting the faculty	
II	H	IMP	I.1	responsibly observe the following:	
II	H	IMP	I.1.1	regular and prompt attendance in classes;	
II	H	IMP	I.1.2	participation in faculty meetings and university/ college activities;	
II	H	IMP	I.1.3	completion of assigned tasks on time;	
II	H	IMP	I.1.4	submission of all require reports promptly; and	
II	H	IMP	I.1.5	decorum at all times.	
II	H	IMP	I.2	follow the Code of Ethics of the Profession and the Code of Ethical Standards for Government Officials and Employees (RA 6713).	
II	H	IMP	I.3	exercise academic freedom judiciously.	
II	H	IMP	I.4	show commitment and loyalty to the institution as evidenced by:	
II	H	IMP	I.4.1	observance of official time;	
II	H	IMP	I.4.2	productive use of official time;	
II	H	IMP	I.4.3	performance of other tasks and assignments, with or without compensation; and	
II	H	IMP	I.4.4	compliance with terms of agreement/ contracts (e.g., scholarship and training).	
II	H	IMP	I.5	maintain harmonious interpersonal relations with superiors, peers, students, parents and the community.	
II	H	IMP	I.6	demonstrate knowledge of recent educational trends/ issues/ resources in the program under survey.	
II	H	IMP	I.7	show evidence of professional growth through further and continuing studies.	
II	H	IMP	I.8	engage in practices which enable the faculty to demonstrate harmonious interpersonal relations with students, faculty and the community.	
II	H	OUT	O.1	The corps of faculty manifests a commendable level of professionalism.	
III	A	SIP	S.1	The curriculum provides for the development of the following professional competencies:	
III	A	SIP	S.1.1	acquisition of knowledge and theories based on the field of specialization/discipline;	
III	A	SIP	S.1.2	application of the theories to real problems in the field; and	
III	A	SIP	S.1.3	demonstration of skills in applying different strategies in the actual work setting.	
III	A	SIP	S.2	There is a system of validation of subjects taken from other schools.	
III	A	SIP	S.3	The curriculum reflects the local, regional and national development goals as well as the institution’s Vision and Mission.	
III	A	IMP	I.1	The curriculum/program of study meets the requirements and standards of CHED.	
III	A	IMP	I.2	The subjects are logically sequenced and prerequisite courses are identified.	
III	A	IMP	I.3	The curricular content is responsive to the needs of the country and recent development in the profession.	
III	A	IMP	I.4	The curricular content covers the extent of the professional and technical preparation required of its graduates.	
III	A	IMP	I.5	The curricular integrates values, reflective of national customs, culture and tradition in cases where applicable.	
III	A	IMP	I.6	Opportunities for participation in hand-on activities, such as immersion/practical training and field study are maintained in the curriculum.	
III	A	IMP	I.7	The following activities are undertaken to ensure quality in the process of curriculum.	
III	A	IMP	I.7.1	participative planning and designing of the curriculum by the following stakeholders:	
III	A	IMP	I.7.1.1	administration;	
III	A	IMP	I.7.1.2	faculty;	
III	A	IMP	I.7.1.3	students;	
III	A	IMP	I.7.1.4	alumni;	
III	A	IMP	I.7.1.5	representatives from the industry/sectors; and	
III	A	IMP	I.7.1.6	others (please specify)________	
III	A	IMP	I.7.2	periodic review, assessment, updating and approval of the curriculum by the Academic Council; and	
III	A	IMP	I.7.3	confirmation of the curriculum by the Board of Regents/Trustees (BOR/BOT).	
III	A	IMP	I.7.4	others ( please specify).	
III	A	IMP	I.8	The program of study allows the accommodation of students with special needs and assists them to finish the degree.	
III	A	OUT	O.1	The curriculum is responsive and relevant to the demands of the times.	
III	A	OUT	O.2	There is passing average performance in the Licensure Examination (if applicable)	
III	B	SIP	S.1	There is an institutional outcomes-based standard format in the preparation of course syllabi.	
III	B	SIP	S.2	The syllabus includes a list of suggested readings and references of print and electronic resources within the last ten (10) years.	
III	B	SIP	S.3	application of the theories to real problems in the field; andCopies of all course syllabi during the term are available at the dean’s office or in any other appropriate repository.	
III	B	SIP	S.4	Copies of all course syllabi in previous terms are filed for reference purposes.	
III	B	SIP	S.5	There is provision for remedial measures to strengthen the basic skills in Mathematics, English, and other “tool” subjects.	
III	B	SIP	S.6	 There is a mechanism to facilitate the teaching-learning process.	
III	B	IMP	I.1	The Dean or official concerned approves the updates syllabus for each subject.	
III	B	IMP	I.2	The faculty prepares syllabi with comprehensive contents.	
III	B	IMP	I.3	The faculty revise and enhances the syllabi preferably every two (2) years and as needed.	
III	B	IMP	I.4	The faculty distributes a copy of the syllabus to each student.	
III	B	IMP	I.5	Teaching strategies stimulate the development of the student’s higher-order thinking skills (HOTS) such as critical thinking, analytical thinking, creative thinking and problem solving.	
III	B	IMP	I.6	Classroom instruction is enriched through the use of the following strategies:	
III	B	IMP	I.6.1	symposia, seminars, workshops, professional lectures;	
III	B	IMP	I.6.2	educational tours/learning visits/other co-curricular activities;	
III	B	IMP	I.6.3	peer teaching/cooperative learning; and	
III	B	IMP	I.6.4	computer-assisted instruction (CAI) and computer-assisted learning (CAL).	
III	B	IMP	I.7	At least three(3) of the following course requirements are used:	
III	B	IMP	I.7.1	group/individual projects;	
III	B	IMP	I.7.2	group/individual reports;	
III	B	IMP	I.7.3	group/individual term papers;	
III	B	IMP	I.7.4	performance activities;	
III	B	IMP	I.7.5	learning contract;	
III	B	IMP	I.7.6	portfolio;	
III	B	IMP	I.7.7	research study;	
III	B	IMP	I.7.8	learning modules; and	
III	B	IMP	I.7.9	others ( please specify)________	
III	B	IMP	I.8	Instruction is enriched through the use of at least ten (10) of the following techniques/strategies:	
III	B	IMP	I.8.1	film showing;	
III	B	IMP	I.8.2	projects;	
III	B	IMP	I.8.3	group dynamics;	
III	B	IMP	I.8.4	case study;	
III	B	IMP	I.8.5	workshops;	
III	B	IMP	I.8.6	simulations;	
III	B	IMP	I.8.7	dimensional question approach;	
III	B	IMP	I.8.8	brainstorming;	
III	B	IMP	I.8.9	buzz sessions	
III	B	IMP	I.8.10	informal creative groups;	
III	B	IMP	I.8.11	interactive learning;	
III	B	IMP	I.8.12	team teaching;	
III	B	IMP	I.8.13	micro teaching;	
III	B	IMP	I.8.14	macro teaching;	
III	B	IMP	I.8.15	tandem teaching;	
III	B	IMP	I.8.16	peer teaching;	
III	B	IMP	I.8.17	multi-media/courseware/teachware;	
III	B	IMP	I.8.18	experiments;	
III	B	IMP	I.8.19	problem-solving;	
III	B	IMP	I.8.20	type study methods;	
III	B	IMP	I.8.21	reporting;	
III	B	IMP	I.8.22	panel discussion; and	
III	B	IMP	I.8.23	others (please specify)_________	
III	B	IMP	I.9	Instructional strategies provide for student individual needs and the development of multiple intelligences.	
III	B	IMP	I.10	Instruction is enhanced through the following:	
III	B	IMP	I.10.1	submission of approved and updated syllabus for every subject/course;	
III	B	IMP	I.10.2	regular classroom observation/supervision;	
III	B	IMP	I.10.3	regular faculty meetings with the college/Academic Dean/Department Chair;	
III	B	IMP	I.10.4	regular faculty performance evaluation;	
III	B	IMP	I.10.5	attendance participation of faculty in in-service training;	
III	B	IMP	I.10.6	conduct of experimental classes; and	
III	B	IMP	I.10.7	Adoption of alternative instructional delivery modes such as modules, e-learning and on-line study.	
III	B	IMP	I.11	Instructional materials (IMs) are reviewed and recommended by an Instructional Materials Committee (IMC).	
III	B	IMP	I.12	Varied, multi-sensory materials and computer programs are utilized.	
III	B	IMP	I.13	The college/Academic Units maintains consortia and linkages with other learning institutions for academic exchange of instructional materials.	
III	B	IMP	I.14	The faculty are encouraged to produce their own instructional materials such as modules, software, visual aids, manuals and textbooks.	
III	B	OUT	O.1	Course syllabi are updated and approved by the concerned authorities.	
III	B	OUT	O.2	Varied teaching strategies are efficiently and effectively used.	
III	B	OUT	O.3	Instructional Materials produced by the faculty are copyrighted/patented.	
III	B	OUT	O.4	The student’s academic performance is commendable..	
III	B	OUT	O.5	Retention rate of students is on average.	
III	C	SIP	S.1	The program of studies has a system of evaluating students performance through a combination of the following:	
III	C	SIP	S.1.1	formative tests such as quizzes, units tests;	
III	C	SIP	S.1.2	summative tests such as mid-term and final examinations;	
III	C	SIP	S.1.3	project and term papers;	
III	C	SIP	S.1.4	practicum and performance tests; and	
III	C	SIP	S.1.5	Other course requirements.	
III	C	SIP	S.2	The summative tests have the following descriptions:	
III	C	SIP	S.2.1	comprehensive enough to test the different levels of cognitive skills and knowledge of content; and	
III	C	SIP	S.2.2	based on well-designed Table of Specifications (TOS).	
III	C	IMP	I.1	Varied evaluation measures are used, such as:	
III	C	IMP	I.1.1	portfolio	
III	C	IMP	I.1.2	rubric assessment;	
III	C	IMP	I.1.3	skills demonstration;	
III	C	IMP	I.1.4	paper and pencil tests;	
III	C	IMP	I.1.5	oral examinations;	
III	C	IMP	I.1.6	group/individual reports;	
III	C	IMP	I.1.7	group/individual projects; and	
III	C	IMP	I.1.8	others (please specify)_______	
III	C	IMP	I.2	Evaluation tools/instruments are reviewed and revised periodically.	
III	C	IMP	I.3	The faculty are trained how to assess student performance properly.	
III	C	IMP	I.4	The College/Academic Unit encourages and supports assessment for multiple intelligences.	
III	C	IMP	I.5	Course and test requirements are returned to students after results are checked, recorded and analyzed.	
III	C	IMP	I.6	The system of student evaluation and grading is defined, understood, and disseminated to:	
III	C	IMP	I.6.1	students;	
III	C	IMP	I.6.2	faculty;	
III	C	IMP	I.6.3	academic administrators; and	
III	C	IMP	I.6.4	parents/guardians.	
III	C	OUT	O.1	The student’s academic performance is commendable..	
III	C	OUT	O.2	Retention rate of students is on average.	
III	D	SIP	S.1	There are policies on management of learning which includes the following:	
III	D	SIP	S.1.1	student’s attendance in class and other academic activities	
III	D	SIP	S.1.2	schedule of classes;	
III	D	SIP	S.1.3	student’s discipline; and	
III	D	SIP	S.1.4	maintenance of cleanliness and orderliness	
III	D	IMP	I.1	The policies on management of learning are enforced.	
III	D	IMP	I.2	Student activities are well-planned and implemented.	
III	D	IMP	I.3	Assignments are designed to reinforce teaching which result in student’s maximum learning.	
III	D	IMP	I.4	The maximum class size of 50 for undergraduate courses is enforced.	
III	D	IMP	I.5	Classroom discipline is maintained in accordance with democratic practices.	
III	D	IMP	I.6	The class officers and assigned students assist in maintaining cleanliness of classroom, laboratories, corridors and the school campus.	
III	D	IMP	I.7	Independent work and performance are encouraged and monitored in the following activities:	
III	D	IMP	I.7.1	case studies/reports;	
III	D	IMP	I.7.2	thesis;	
III	D	IMP	I.7.3	others (please specify)________	
III	D	IMP	I.8	In practicum courses, ( field study, OJT, practice teaching, etc.) the in number of trainees supervised by each coordinator does not exceed 50.	
III	D	OUT	O.1	Learning is efficiently and effectively managed.	
III	E	SIP	S.1	There is a policy on graduation requirements	
III	E	IMP	I.1	The students are regularly informed of the academic requirements of their respective courses.	
III	E	IMP	I.2	The Colleges/Academic Unit implements the system for student returnees and transferees to meet the residence and other graduation requirements.	
III	E	IMP	I.3	Graduating students conduct research and/or undergo practicum/OJT or other activities prescribed in their respective curricula.	
III	E	IMP	I.4	The College/Academic Unit assist the graduating students with academic deficiencies, disciplinary cases, and other problems which hinder issuance of clearances.	
III	E	IMP	I.5	A clearance from academic and financial accountabilities and responsibilities is required before graduation	
III	E	OUT	O.1	At least 60% of the students enrolled in the program are able to graduate within the regular time frame.	
III	F	SIP	S.1	The institution has policies on:	
III	F	SIP	S.1.1	substitution or special arrangements whenever a faculty is on leave or absent;	
III	F	SIP	S.1.2	giving awards and/ or recognition for faculty and students with outstanding achievements; and	
III	F	SIP	S.1.3	supervision/ monitoring and evaluation of faculty performance.	
III	F	IMP	I.1	The institution implements rules on the attendance of the faculty in their respective classes and other academic related activities.	
III	F	IMP	I.2	Dialogues are regularly conducted by the administration with the:	
III	F	IMP	I.2.1	faculty; and	
III	F	IMP	I.2.2	students	
III	F	IMP	I.3	Quality instruction is assured through the following strategies:	
III	F	IMP	I.3.1	conducting seminars/ workshop on syllabi making;	
III	F	IMP	I.3.2	holding workshops on test construction and the corresponding table of specifications;	
III	F	IMP	I.3.3	conducting competency assessment;	
III	F	IMP	I.3.4	conducting supervisory visit of classes and providing assistance if necessary;	
III	F	IMP	I.3.5	holding of regular faculty meetings;	
III	F	IMP	I.3.6	requiring consultations between students and faculty;	
III	F	IMP	I.3.7	conducting studies on academic performance of students; and	
III	F	IMP	I.3.8	providing opportunities for the participation of the faculty in- service training activities.	
III	F	IMP	I.4	Periodic faculty performance evaluation on teaching and in other functions is done by at least three of the following:	
III	F	IMP	I.4.1	the Dean/ Academic Head/ Department Chair;	
III	F	IMP	I.4.2	the students;	
III	F	IMP	I.4.3	the faculty member himself/ herself;	
III	F	IMP	I.4.4	peers; and	
III	F	IMP	I.4.5	others (please specify)______________.	
III	F	IMP	I.5	The results of the performance evaluation are used to improve the performance/ competencies of the faculty.	
III	F	IMP	I.6	The students are given recognition of exemplary academic non-academic performances.	
III	F	IMP	I.7	Outstanding achievement of students is recognized and encourage through the following:	
III	F	IMP	I.7.1	inclusion in the honor roll, Dean’s list, etc.;	
III	F	IMP	I.7.2	grant of tuition scholarships;	
III	F	IMP	I.7.3	award of honor medals and merit certificates;	
III	F	IMP	I.7.4	membership in honor societies/ honor class/ sections, etc.;	
III	F	IMP	I.7.5	grant of special privileges such as opportunities for on leadership and others ( excluding exemption from major exams on all professional business subjects); and	
III	F	IMP	I.7.6	grant of awards and recognition for outstanding academic accomplishments, e.g., Best Thesis, Student Researcher of the Year, etc.	
III	F	IMP	I.8	Indicators on performance of graduates are studied such as;	
III	F	IMP	I.8.1	analysis of performance of graduates in the Licensure Examination;  if applicable	
III	F	IMP	I.8.2	employability of graduates; and	
III	F	SIP	I.8.3	feedback from employers regarding performance of graduates.	
III	F	OUT	O.1	The faculty and students have commendable performance as a result of administrative support.	
III	F	OUT	O.2	The graduates of the program are employable.	
IV	A	SIP	S.1	The institution has Student Service Program (SSP).	
IV	A	SIP	S.2	The Student Affairs Services (SAS) program is consistent with the vision and mission of the Institution, goals of the College/ Academic Unit and objectives of the Program.	
IV	A	SIP	S.3	The objectives of the SAS are clearly defined.	
IV	A	SIP	S.4	The objectives of the SAS are in accordance with CMO No. 9 series of 2013.	
IV	A	SIP	S.5	The SAS is composed of:	
IV	A	SIP	S.5.1	student welfare programs and services; and	
IV	A	SIP	S.5.2	student development programs and services.	
IV	A	SIP	S.6	The following basic services are available:	
IV	A	SIP	S.6.1	Student Welfare;	
IV	A	SIP	S.6.1.1	Information and Orientation Services;	
IV	A	SIP	S.6.1.2	Guidance and Counselling Services;	
IV	A	SIP	S.6.1.3	Career and Job Placement Services;	
IV	A	SIP	S.6.1.4	Economic Enterprise Development; and	
IV	A	SIP	S.6.1.5	Student Handbook Development.	
IV	A	SIP	S.6.2	Student Development;	
IV	A	SIP	S.6.2.1	Student Activities;	
IV	A	SIP	S.6.2.2	Student Organizations and Activities;	
IV	A	SIP	S.6.2.3	Leadership Training;	
IV	A	SIP	S.6.2.4	Student Council/ Government;	
IV	A	SIP	S.6.2.5	Student Discipline; and	
IV	A	SIP	S.6.2.6	Student Publication/ Year Book.	
IV	A	SIP	S.6.3	Institutional Student Programs and Services;	
IV	A	SIP	S.6.3.1	Admission Services;	
